  Psi0s, Psi_finals, np.log10(F_esc)
  30.00000,  30.00000, -13.42939
  29.99200,  29.99200, -13.42584
  29.98400,  29.98400, -13.42230
  29.97600,  29.97600, -13.41877
  29.96800,  29.96800, -13.41522
  29.96000,  29.96000, -13.41167
  29.95200,  29.95200, -13.40813
  29.94400,  29.94400, -13.40459
  29.93600,  29.93600, -13.40105
  29.92800,  29.92800, -13.39750
  29.92000,  29.92000, -13.39396
  29.91200,  29.91200, -13.39042
  29.90400,  29.90400, -13.38688
  29.89600,  29.89600, -13.38334
  29.88800,  29.88800, -13.37979
  29.88000,  29.88000, -13.37626
  29.87200,  29.87200, -13.37271
  29.86400,  29.86400, -13.36917
  29.85600,  29.85600, -13.36562
  29.84800,  29.84800, -13.36209
  29.84000,  29.84000, -13.35855
  29.83200,  29.83200, -13.35501
  29.82400,  29.82400, -13.35146
  29.81600,  29.81600, -13.34792
  29.80800,  29.80800, -13.34438
  29.80000,  29.80000, -13.34084
  29.79200,  29.79200, -13.33730
  29.78400,  29.78400, -13.33376
  29.77600,  29.77600, -13.33022
  29.76800,  29.76800, -13.32668
  29.76000,  29.76000, -13.32314
  29.75200,  29.75200, -13.31959
  29.74400,  29.74400, -13.31606
  29.73600,  29.73600, -13.31252
  29.72800,  29.72800, -13.30898
  29.72000,  29.72000, -13.30544
  29.71200,  29.71200, -13.30190
  29.70400,  29.70400, -13.29836
  29.69600,  29.69600, -13.29481
  29.68800,  29.68800, -13.29128
  29.68000,  29.68000, -13.28773
  29.67200,  29.67200, -13.28419
  29.66400,  29.66400, -13.28066
  29.65600,  29.65600, -13.27711
  29.64800,  29.64800, -13.27358
  29.64000,  29.64000, -13.27004
  29.63200,  29.63200, -13.26650
  29.62400,  29.62400, -13.26296
  29.61600,  29.61600, -13.25942
  29.60800,  29.60800, -13.25588
  29.60000,  29.60000, -13.25234
  29.59200,  29.59200, -13.24880
  29.58400,  29.58400, -13.24526
  29.57600,  29.57600, -13.24173
  29.56800,  29.56800, -13.23819
  29.56000,  29.56000, -13.23465
  29.55200,  29.55200, -13.23111
  29.54400,  29.54400, -13.22757
  29.53600,  29.53600, -13.22403
  29.52800,  29.52800, -13.22049
  29.52000,  29.52000, -13.21695
  29.51200,  29.51200, -13.21342
  29.50400,  29.50400, -13.20988
  29.49600,  29.49600, -13.20634
  29.48800,  29.48800, -13.20280
  29.48000,  29.48000, -13.19926
  29.47200,  29.47200, -13.19572
  29.46400,  29.46400, -13.19219
  29.45600,  29.45600, -13.18865
  29.44800,  29.44800, -13.18511
  29.44000,  29.44000, -13.18157
  29.43200,  29.43200, -13.17804
  29.42400,  29.42400, -13.17450
  29.41600,  29.41600, -13.17096
  29.40800,  29.40800, -13.16742
  29.40000,  29.40000, -13.16388
  29.39200,  29.39200, -13.16035
  29.38400,  29.38400, -13.15681
  29.37600,  29.37600, -13.15327
