04 Jul 2018
Deflection (mm)
Pad #	Column 8	Column 24
6.7	-0.03		0
17.5	-0.18		0
35.5	-0.3		-0.02
53.5	-0.53		-0.08
71.5	-0.65		-0.12
89.5	-0.73		-0.08
107.5	-0.82		-0.03
125.5	-0.82		-0.02
143.5	-0.76		0.01
161.5	-0.73		-0.07
179.5	-0.63		0.11
197.5	-0.45		0.16
215.5	-0.28		0.31
233.5	-0.09		0.44
251.5	0.07		0.61
269.5	0.17		0.75
287.5	0.28		0.69
305.5	0.22		0.72
323.5	0.09		0.58
341.5	-0.05		0.44
359.5	-0.1		0.41
377.5	-0.21		0.33
395.5	-0.25		0.24
413.5	-0.16		0.18
431.5	-0.08		0.1
449.5	-0.16		0
467.5	-0.14		-0.2
485.5	-0.25		-0.11
503.5	-0.27		-0.17
521.5	-0.22		-0.16
539.5	-0.16		-0.13
557.5	-0.09		-0.07
570.1	-0.04		0.01
