128 , 16 , 2 : 2.23s,34.32s,VF48Events:565,Verticies:505,PassedCuts:322
128 , 16 , 2.5 : 2.42s,30.29s,VF48Events:565,Verticies:514,PassedCuts:350
128 , 16 , 3 : 2.40s,30.01s,VF48Events:565,Verticies:512,PassedCuts:350
128 , 16 , 3.5 : 2.32s,29.57s,VF48Events:565,Verticies:514,PassedCuts:358
128 , 16 , 4 : 2.31s,29.98s,VF48Events:565,Verticies:513,PassedCuts:363
128 , 8 , 2 : 2.39s,30.61s,VF48Events:565,Verticies:513,PassedCuts:346
128 , 8 , 2.5 : 2.36s,30.22s,VF48Events:565,Verticies:514,PassedCuts:357
128 , 8 , 3 : 2.43s,29.91s,VF48Events:565,Verticies:514,PassedCuts:359
128 , 8 , 3.5 : 2.50s,29.69s,VF48Events:565,Verticies:514,PassedCuts:356
128 , 8 , 4 : 2.53s,29.66s,VF48Events:565,Verticies:513,PassedCuts:359
128 , 4 , 2 : 2.80s,30.65s,VF48Events:565,Verticies:515,PassedCuts:353
128 , 4 , 2.5 : 2.71s,29.77s,VF48Events:565,Verticies:516,PassedCuts:358
128 , 4 , 3 : 2.79s,29.63s,VF48Events:565,Verticies:515,PassedCuts:362
128 , 4 , 3.5 : 2.71s,29.60s,VF48Events:565,Verticies:515,PassedCuts:360
128 , 4 , 4 : 2.69s,29.50s,VF48Events:565,Verticies:514,PassedCuts:363
128 , 1 , 2 : 3.52s,30.66s,VF48Events:565,Verticies:516,PassedCuts:354
128 , 1 , 2.5 : 3.59s,29.86s,VF48Events:565,Verticies:515,PassedCuts:358
128 , 1 , 3 : 3.71s,29.80s,VF48Events:565,Verticies:514,PassedCuts:361
128 , 1 , 3.5 : 3.73s,29.59s,VF48Events:565,Verticies:514,PassedCuts:360
128 , 1 , 4 : 3.69s,29.44s,VF48Events:565,Verticies:513,PassedCuts:360
128 , 0.25 , 2 : 13.88s,30.42s,VF48Events:565,Verticies:517,PassedCuts:357
128 , 0.25 , 2.5 : 14.29s,29.90s,VF48Events:565,Verticies:516,PassedCuts:360
128 , 0.25 , 3 : 13.56s,29.73s,VF48Events:565,Verticies:516,PassedCuts:361
128 , 0.25 , 3.5 : 13.60s,29.43s,VF48Events:565,Verticies:515,PassedCuts:360
128 , 0.25 , 4 : 13.90s,29.48s,VF48Events:565,Verticies:514,PassedCuts:361
128 , 0.1 , 2 : 13.89s,30.47s,VF48Events:565,Verticies:517,PassedCuts:357
128 , 0.1 , 2.5 : 12.84s,29.86s,VF48Events:565,Verticies:516,PassedCuts:359
128 , 0.1 , 3 : 13.80s,29.45s,VF48Events:565,Verticies:515,PassedCuts:361
128 , 0.1 , 3.5 : 12.73s,29.59s,VF48Events:565,Verticies:515,PassedCuts:361
128 , 0.1 , 4 : 14.24s,29.41s,VF48Events:565,Verticies:514,PassedCuts:362
256 , 16 , 2 : 2.48s,33.19s,VF48Events:565,Verticies:509,PassedCuts:334
256 , 16 , 2.5 : 2.47s,30.11s,VF48Events:565,Verticies:516,PassedCuts:358
256 , 16 , 3 : 2.40s,29.67s,VF48Events:565,Verticies:515,PassedCuts:354
256 , 16 , 3.5 : 2.44s,29.66s,VF48Events:565,Verticies:516,PassedCuts:358
